brandname,pid,pname,age,tags,repurchased,like_c,concern_list,skin_type,score,date,text
에스케이투,28862,오라액티베이터 씨씨 크림,29,"['지속력좋은', '자연스러운', '촉촉한']",0,0,"모공,각질,주름",지성,3,2018-04-24,"커버력이 우수한 편은 아니지만 가볍게 바르기 좋아요.
장점으로는 #지속력좋은 #자연스러운 #촉촉한 씨씨크림이란 것.
단점은 커버력이 좋지않고 민낯느낌이 난다는 것ㅎㅎ
재구매하고싶지는 않은 템이에요."
에스케이투,28862,오라액티베이터 씨씨 크림,36,[],0,0,"잡티,건조함,민감성",복합성,5,2018-02-07,"자연스럽게 커버되고 자연스럽게 매끈해져요
뭐가 딱 좋은지는 모르겠는데 그냥 좋고 자꾸 사용하게 되요"
에스케이투,28862,오라액티베이터 씨씨 크림,30,"['발림성좋은', '무난하게쓰기좋은']",0,0,"모공,건조함,트러블",복합성,4,2017-12-20,"선물받아서 쓰는데요 ~  커버력도 괸찬구요, 잡티가 많은편이라면 별로 일것 같아용 ㅎ 그리고 조금 건조합니다 .. 가격대가 좀 잇어서 부담이 되지만 지속력 괸찮아요
#발림성좋은  #무난하게쓰기좋은"
에스케이투,28862,오라액티베이터 씨씨 크림,18,"['인생템', '촉촉한']",1,1,"각질,건조함,피부톤",건성,5,2017-10-06,"이거 쓸때 제일 괜찮다는 말까지 들은 씨씨크림이에요!
펄이 들어가있는데 발랐을때 피부표현이 예쁘게 되요
촉촉해서 건성인분들한테 좋아요
저는 악건성이어서 에스케이투 씨씨 크림 되게 좋게 썼어요
면세점 갈때마다 항상 사는 제품이에요
벌써 세통째 쓰고 있어요
씨씨크림치고 커버력도 괜찮고 피부표현이 너무 마음에 들어서 손이 자주가요!
원래 씨씨크림 커버력이 없어서 잘 안쓰는데
에스케이투 씨씨크림은 자주 쓰게되더라구요
이게 제 피부에는 제일 잘맞는것 같아요!
베이스중에서 유일한 인생템이에요 ㅠㅠㅠ
추천드립니다 써보세요!!!
#인생템 #촉촉한"
에스케이투,28862,오라액티베이터 씨씨 크림,17,['비추템'],0,0,"모공,트러블,피지과다",복합성,2,2017-09-26,헤라 베이스 쓰다 질릴쯤에 썻던 건데 헤라보다 훨씬 안 좋았어요.밀착이 안되고 겉에서 도는 느낌이 나기도 햇구 아무리 퍼프로 두들겨도 피부에 스며드는 느낌이 나지 않앗어요!!지속력은 어느정도 되긴 합니다... #비추템 
에스케이투,28862,오라액티베이터 씨씨 크림,29,"['sk2', '씨씨크림', '지속력', '커버력이', '촉촉해서', '자연스러운데', '발림성이', '인생템', '추천템']",1,2,모공,중성,5,2017-07-22,"#sk2#씨씨크림
씨씨크림인데도 불구하고 #지속력#커버력이 진짜 좋아요
색깔은 한 가지이지만 자기 피부에 녹아드는 편이에요
적당히 #촉촉해서 사계절 두루두루 손이 잘 가요
#자연스러운데 커버력이 있고 #발림성이 좋아서
빠르게 메이크업해야할 때 슥슥 발라준답니다
커버력이 좋아서 많이 바르지 않아도 돼서 오래쓸 것 같아요
#인생템#추천템"
에스케이투,28862,오라액티베이터 씨씨 크림,22,"['지속력좋은', '커버력좋은', '자연스러운', '촉촉한', '인생템', '추천템']",0,0,"각질,잡티,건조함",건성,5,2017-04-15,"이거 제 인생 씨씨크림 처음엔 펄입자 들어가있는거 진짜 싫어했는데 이거 쓰면서 달라졌어요 촉촉해서 하루종일 수정화장 안해도 뜨지 않고요 얼굴 화사하고 끈적이지 않아서 피부 진짜 좋아보여요 씨씨는 앞으로도 이것만 쓸예정이예요
진짜 짱짱 #지속력좋은 #커버력좋은 #자연스러운 #촉촉한 #인생템 #추천템 "
에스케이투,28862,오라액티베이터 씨씨 크림,30,"['촉촉한', '인생템', '추천템']",0,0,"모공,잡티",복합성,5,2017-04-14,물광을 넘어 극광 피부표현이 가능한 에스케이투 씨씨!!개인적으로 촉촉함을 넘어 번들번들 거리는 걸 좋아하는데 내가 원하던 피부표현이 가능하게 되어서 너무 뿌듯합니다!보통 파데 바르고 지우면 피부가 약간 지친 듯한? 느낌과 피부자체가 너무 톤다운이 되어 있는 걸 느껴지는데 이건 에센스도 함유되어 있어서 그런지 화장을 지워도 피부가 지친 듯한 느낌 없고 화장을 하면서도 피부관리하는 듯한? 커버력은 없지만 극광 빛.덕분에 잡티따위 날려버려요!! 셀카만 올려서 죄송하지만 사진으로 본 그대로의 피부표현임!#촉촉한 #인생템 #추천템
에스케이투,28862,오라액티베이터 씨씨 크림,40,"['뷰티템연말정산', '바른느낌이']",0,0,"모공,각질,잡티",복합성,4,2017-01-05,#뷰티템연말정산#바른느낌이 가볍고 자연스러운 제품입니다 커버력이 뛰어나진 않지만 유분감이 적고 지속력도 나쁘지 않아서  사용하기 무난한 제품입니다
에스케이투,28862,오라액티베이터 씨씨 크림,28,"['지속력좋은', '자연스러운', '인생템', '추천템']",1,1,민감성,건성,5,2016-12-30,"씨씨중 갑! 
아무렇게나 발라도 얇고 들뜸없이 발리며 보송보송 하면서도
빛이 나는 피부를 표현해준다. 눅스 드라이오일과 찰떡궁합이어서 
겨울에는 한방울씩 섞어서 발라준다. 
분명 속은 촉촉한데 머리카락도 안붙고 화장 후 오랜 시간이 지나도 무너짐이 없다. 커버력이 약해서 더욱 자연스러운 피부표현이 가능하다. #지속력좋은 #자연스러운 #인생템 #추천템 "
에스케이투,28862,오라액티베이터 씨씨 크림,38,[],1,0,"주름,건조함,피부톤",건성,4,2016-09-13,"오랜만에 너무나 마음에드는 씨씨크림을 만났어요~
커버력이 쎈편은 아니지만 저는 적당한 화사함과 네추럴 피부메이크업을 선호해서 마음에 들어요
확실히 SK2 RNA크림과 함께 믹스해서 발라주면 윤광연출이 됩니다~
단독으로는 극광연출은 힘들고요.. 저처럼 건조한 피부라면 RNA크림과 함께 사용하길 추천드려요"
에스케이투,28862,오라액티베이터 씨씨 크림,36,"['sk', '놓치지않을꺼예요', '추천템', '씨씨크림', '에스케이투']",0,0, ,지성,5,2016-04-25,SK-II에센스 성분이 함유되서 더 좋은 CC 크림!! 고급스럽게 은은하게 얼굴을 만들어주는 느낌의 CC 크림이라서 전 바쁜 아침 메이크업때 꼭 요 CC 크림 사용한답니다. #SK-II #놓치지않을꺼예요~ #추천템 #씨씨크림 #에스케이투
투쿨포스쿨,32952,다이노플라츠 시네마 시티 (멀티볼 CC크림),28,"['커버력좋은', '추천템']",0,0,"모공,잡티,건조함",중성,3,2017-12-13,자연스럽게 피부에 홍조가 얼론 것처럼 표현 되고 색깔도 이뻐서 여러 가지 챙기고 싶어요 추천합니다 #커버력좋은 #추천템 
투쿨포스쿨,32952,다이노플라츠 시네마 시티 (멀티볼 CC크림),25,"['지속력좋은', '자연스러운', '인생템']",1,0,"모공,각질,잡티",중성,3,2017-11-27,"자연스러우면서 밝게 표현되서 요즘  무조건 꼭 쓰고 있어요!!! 
투쿨포스쿨 너무 좋아요 #지속력좋은 #자연스러운 #인생템 "
투쿨포스쿨,32952,다이노플라츠 시네마 시티 (멀티볼 CC크림),24,[],1,0,각질,중성,5,2017-10-10,"손목이랑 확실히 차이가 나죠?보정 하나는 끝내줬어요~
밀착력도요 아주 착착 부드럽게 밀착되더라구요ㅎㅎ
끈적임 없이 존쫀한 텍스쳐 여름에 바르기 딱 좋은 답답하지 않고
가벼운 제품이였답니다!"
투쿨포스쿨,32952,다이노플라츠 시네마 시티 (멀티볼 CC크림),31,[],1,0,"모공,주름,건조함",복합성,3,2017-10-10,"적당히 사용하기 좋은 제품인듯
커버력은 조금 떨어지지만 자연스럽게 피부 표현하기에 있어서 좋고
또 하이라이터 볼이 함께 내장되어져 있어서 파우치를 좀 더 가볍게 덜어주어 좋았어요 ㅎㅎ"
투쿨포스쿨,32952,다이노플라츠 시네마 시티 (멀티볼 CC크림),34,"['자연스러운', '인생템', '추천템']",0,0,"모공,건조함,피부톤",중성,5,2017-09-22,"제가 제일 좋아하는 CC크림의 최고봉~~
톤보정 효과 확실해서 쌩얼로 나갈때는 이거 하나 쓱 바르면
최소 안색정도는 사람처럼 보일 수 있게 해줘서 너무나 애정하는 아이템입니다.
톤업 효과가 주 기능이라 커버력은 없구요,
같이 내장된 크림치크는 컬러도 제형도 만족스럽습니다. (발랄한 코랄색이에요)
끈적임없고 보송한 마무리감도 굿굿 #자연스러운 #인생템 #추천템 "
투쿨포스쿨,32952,다이노플라츠 시네마 시티 (멀티볼 CC크림),21,"['투쿨포스쿨', '촉촉하고', '자연스러워요', '지속력도', '인생템', '추천템']",1,0,"모공,잡티,트러블",지성,5,2017-09-05,#투쿨포스쿨 다이노플라츠 시네마 시티 멀티볼 CC크림은 #촉촉하고 #자연스러워요 그리고 #지속력도 좋은겄같습니다 아래에 있는 치크는 분홍분홍해서 저의 피부랑 잘 어울려요 #인생템 #추천템 
투쿨포스쿨,32952,다이노플라츠 시네마 시티 (멀티볼 CC크림),26,"['자연스러운', '추천템']",0,0,건조함,복합성,5,2017-02-20,발라본 CC크림중에 가장 미끌거리지도 않고 #자연스러운 톤업되서 진짜 피부가 좋아보이는 효과 주는 것 같아요 #추천템 
투쿨포스쿨,32952,다이노플라츠 시네마 시티 (멀티볼 CC크림),28,"['화사한', '촉촉한', '톤보정']",0,1,건조함,건성,4,2016-04-26,"멀티볼 옵션으로는 컨실러, 치크, 하이라이터 세가지가 있어요. 핑크 베이스이긴 한데 좀 흰기가 많이 섞인 듯한 핑크 베이스에요. 바르면 되게 화사해지고 주름에 끼거나 하는 것 없이 매끈하게 발려요. #화사한 #촉촉한 #톤보정 "
바닐라코,5850287,잇 래디언트 CC 커버,29,['자연스러운'],0,0,"건조함,민감성,아토피",건성,4,2018-02-25,이건 커버보단 솔직히 자연스럽게 밝아진다는느낌이예요  피부가 하얀편이고  트러블 적은사람이 쓰면 잘 맞을거같아요 촉촉하진않고 매트하네요 저는 건성이라 썬크림바르고 바른다는...ㅎ #자연스러운
바닐라코,5850287,잇 래디언트 CC 커버,26,"['촉촉함', '보습감', '겨울철에딱']",1,0,"모공,건조함",건성,5,2018-01-11,"요즘에 피부가 너무 안좋아져서 건조해지고 트러블이 자꾸 나더라구요.ㅠㅠ
그러다가 우연히 바닐라코 튜브형 검정 샘플을 사용해봤는데 너무 촉촉하더라구요.
알고 보니 씨씨커버 였어요 제가 한번도 씨씨크림은 사용해 본적 없었는데 왜 안썼나 싶네용 ㅎㅎ
진짜 짱입니당 보습감과 촉촉함이!! #촉촉함 #보습감 #겨울철에딱!"
바닐라코,5850287,잇 래디언트 CC 커버,18,[],0,0,"모공,민감성",복합성,5,2017-09-23,커버력은 없지만 바르면 뜨지도 않고 좋아오!
바닐라코,5850287,잇 래디언트 CC 커버,31,"['매끈매끈', '보통']",0,0,"모공,각질,잡티",복합성,4,2017-09-22,"바르고 비비를 바르니 매끈매끈하니 잘 발리는 느낌이예요~ 

#매끈매끈 #보통"
바닐라코,5850287,잇 래디언트 CC 커버,21,"['지속력좋은', '자연스러운', '인생템', '내']",1,3,"각질,잡티,피지과다",지성,5,2017-06-27,"#지속력좋은 #자연스러운 #인생템 #내 피부를 찾아서
시간이 지나면서 점차 제 피부에 맞게 톤이 맞아떨어지더라고요.강조하지만 진짜 얇게 발라야되요.이마 3점 볼 5점(가운데 찍고 외벽으로 그냥 손에 있는양 찍어주세요)그리고 남은 소량 바르시고 양조절 실패했다고 아깝다고 얼굴,턱말고 목에 발라주세요.그후 같은 바닐라코 프라이머 피니쉬 파우더 써주시면 짱짱 뽀송하고 하루종일 피부 무너지지 않습니다.건조하신분은 요즘 나오는 오일베이스 깔끔하게 바르고 파우더를 부러쉬로 얇게 바르는것도 나쁘지 않습니다.잡티는 더샘꺼 같이  쓰는거 좋습니다!"
바닐라코,5850287,잇 래디언트 CC 커버,38,[],1,2,"모공,건조함,피지과다",지성,4,2017-05-19,"연한 분홍빛이 도는 제형으로 파운데이션에 가까울 정도로 부드러운 제형으로 가벼운 텍스추어여요~
발림성이 정말 좋은데, 수분감이 풍부해 피부에 발릴때도 부드럽게 발리네요
한번 펌핑하면 콩알만큼 나오는 데, 워낙 부드럽게 발려서 많이 바르지 않아도 충분히 커버할 수 있어요.
용량이 30ml인데 오래 사용할 수 있을 것 같아요~
워낙 발림성이 좋아 소량만 발라도 충분하네요."
바닐라코,5850287,잇 래디언트 CC 커버,27,"['3월뷰티템', '촉촉한', '무너짐없는', '들뜸없는', '추천템']",0,0,"모공,건조함,트러블",중성,4,2017-03-22,"커버라고 보송보송한 마무리감을 원하시고 구매하시면 안될거같아요
되게 촉촉하게 마무리되고 자연스럽게 커버되요
색상이 되게 예쁘게 톤업되는점이 가장 만족스러웠고 오후에 기름이랑 살짝 섞여서 무너져고 피부 좋아보이고 수정할때 처음 바른것처럼되서 정말 만족하면서 사용했어요 #3월뷰티템 #촉촉한 #무너짐없는 #들뜸없는 #추천템"
바닐라코,5850287,잇 래디언트 CC 커버,28,"['지속력좋은', '커버력좋은', '자연스러운']",0,0,건조함,건성,4,2016-12-25,그냥 CC는 커버력이 약한데 요거는 커버력이 더해짐! 게다가 약간의 윤기와 광도 남>_< 자연스러우면서 커버력까지! #지속력좋은 #커버력좋은 #자연스러운 
홀리카홀리카,6132301,물방울 CC 팩트 SPF50+ PA+++,30,"['자연스러운', '촉촉한', '추천템']",1,0,"모공,잡티,건조함",건성,4,2018-02-06,"#자연스러운 #촉촉한 #추천템 


자연스럽게 촉촉해요
다만 퍼프가 약하다달까 금방 헤지고
케이스가 불편해요
케이스가 돌려서 여는타입인데
아침마다 기초후에 열려면 손을 닦고 열어야해서 
그점이 불편해요
그외는 만족해요
색상도 화사하게 예쁘고 여름에 사용시엔 약간의 쿨링감이 느껴져요"
홀리카홀리카,6132301,물방울 CC 팩트 SPF50+ PA+++,31,"['리즈갱신', '촉촉한', '커버력좋은', '지속력좋은', '추천템']",0,0,"주름,잡티,건조함",건성,5,2017-02-06,가격대비 정말 괜찮아요 촉촉하면서 커버력도 있구요 물방울팩트라 수분감이 있어 시원해요ㅎㅎ 여름에 썼었는데 정말 좋았어요ㅎㅎ #리즈갱신 #촉촉한 #커버력좋은 #지속력좋은 #추천템
더페이스샵,32014,페이스 잇 아우라 CC크림,25,"['촉촉한', '자연스러운', '커버력좋은', '지속력좋은', '추천템']",0,0,"각질,잡티,건조함",복합성,4,2017-11-28,다른 CC크림보단 더 내추럴한 느낌이 있고 색도 진하지 않아 평소에 들고 다니면서 커버하기 좋은 제품 #촉촉한 #자연스러운 #커버력좋은 #지속력좋은 #추천템 
더페이스샵,32014,페이스 잇 아우라 CC크림,30,['커버력좋은'],0,0,잡티,복합성,3,2017-11-21,나오는 구멍만 빼면 괜찮아요 ㅎㅎ 무난하게 발립니당 ㅎ #커버력좋은 
더페이스샵,32014,페이스 잇 아우라 CC크림,23,[],0,0,"모공,잡티,트러블",복합성,1,2017-09-30,"제 피부랑은 안맞았던건지 ㅠㅠ 바르면 계속 다 떠서... 두번인가 사용하고  버린 제품이에요 ㅠㅠㅠ 
사람마다 다르지만 저는 피부랑 너무 안맞았습니당 !! ㅠㅠ"
더페이스샵,32014,페이스 잇 아우라 CC크림,24,"['지속력좋은', '추천템', '촉촉한']",1,0,"각질,건조함,민감성",복합성,5,2017-07-01,"매장언니들도 이걸 사용한다고 하셔서 구매했었거든요! 
그만큼 쫀쫀하고 광나게 피부가 표현이 되서 좋아요ㅠㅠ
사고 리필도 구매해서 사용할 예정이에요! 
용기가 팔레트 처럼 덜어서 사용이 가능하고 닦고 사용할수 있어서 깨끗하게 사용할수 있는거 같아요 ㅎㅎ #지속력좋은 #추천템 #촉촉한 "
더페이스샵,32014,페이스 잇 아우라 CC크림,26,['자연스러운'],0,1,"모공,각질,피지과다",중성,4,2017-06-23,씨씨가 자연스럽다해서  진짜 두껍게안할때! 그냥 딱썬크리위에바를때  그럭저러괜찮아요 커버는 나쁘지않아요 제피부가 아예안좋은건아니라서 자연스러운화당할땐 #자연스러운 괜찮았어욤ㅋㅋ
더페이스샵,32014,페이스 잇 아우라 CC크림,27,"['지속력좋은', '커버력좋은', '촉촉한', '인생템', '추천템']",1,1,"주름,건조함,트러블",복합성,4,2017-06-23,"이거 옛날에 제 인생템이었어요 완벽커버에 초크처크ㅠㅜ
이거완전좋아요오오오오 얼굴에 광도 나요 빤짝빤짝
그냥 딴거써봐야지하고 갈아타고나선 계속 안쓰거있었는데 다시 사용해봐야겠네요 #지속력좋은 #커버력좋은 #촉촉한 #인생템 #추천템 "
더페이스샵,32014,페이스 잇 아우라 CC크림,26,"['자연스러운', '추천템', '씨씨크림', '쿠션']",1,0,"주름,건조함,아토피",건성,3,2017-06-05,"#자연스러운 #추천템 #씨씨크림 #쿠션
비비크림은 회색빛돌거나 다크닝 오는게 싫어서 CC크림 써봣어요
확실히 더 화사하고 피부톤이 맑아보여요!
피부화장이 맑아보이는느낌?? 거기에 두꺼워보이지않고 투명한 메이크업! 가벼운 메이크업좋아하시는분들 이거 추천드립니당 ㅎㅎ
다크닝도 거의안와요!! 단점은 ㅠ 이게 복불복인지 케이스가 펌핑이 잘 안되는 제품이 있더라구요 ㅠ"
더페이스샵,32014,페이스 잇 아우라 CC크림,26,"['3월뷰티템', '커버력좋은', '자연스러운']",1,0,"모공,피부톤,트러블",복합성,5,2017-03-23,#3월뷰티템 #커버력좋은 #자연스러운 
더페이스샵,32014,페이스 잇 아우라 CC크림,24,[],1,0,"잡티,건조함,민감성",건성,4,2017-03-22,"펌핑 양조절이 쉽고, 촉촉하고 즉각적인 톤업이 돼요."
더페이스샵,32014,페이스 잇 아우라 CC크림,38,"['커버력좋은', '추천템']",1,0,"모공,주름,잡티",복합성,4,2017-03-09,"화사하지 않으면서 네춰랄하게 
너무 편해요 #커버력좋은 #추천템 "
더페이스샵,32014,페이스 잇 아우라 CC크림,26,"['화사한', '자연스러운', '촉촉한', '톤보정']",1,0,"각질,잡티,건조함",건성,4,2016-07-05,"처음 출시했을 때부터 반년이상은 사용한 제품
CC의 혁명같이 등장해서 열심히 사용했음
CC치고 커버력도 좋은 편이라서 자연스러운 메이크업을 추구할 때 추천함
허나 커버를 많이 요하는 분들에겐 추천하지않음 #화사한 #자연스러운 #촉촉한 #톤보정"
더페이스샵,32014,페이스 잇 아우라 CC크림,26,[],1,0,민감성, ,3,2016-06-18,처음에 구매하고 피부에 뭐가나서 엄마 드리고 그 다음에 또 혹해서 재구매했는데 역시 이게 제 피부와 안맞는지 뭐가 나네요 ㅜㅜ 그래도 저희 엄마는 엄청 잘 사용하세요. 저도 피부에 뭐만 안나면 색도 이쁘고 촉촉하고 특히 눌러서 사용하는 용기가 청결해서 좋은데 ㅜㅜ 아쉬워요.
더페이스샵,32014,페이스 잇 아우라 CC크림,35,"['톤보정', '화사한', '추천템']",1,0,"모공,주름,트러블",지성,4,2016-06-04,생각보다 기름종이 테스트에서 유분이 다른 CC크림에 비해서 적은 편인데도 적당한 광택에 커버력이 좋은 편이예요. 지속력은... 6시간 봅니다 ^^ #톤보정 #화사한 #추천템 
더페이스샵,32014,페이스 잇 아우라 CC크림,34,['화사한'],0,0,"모공,피부톤,트러블",복합성,3,2016-06-03,무난한 것 같긴한데 양이  너무 적은 것 같아요 #화사한 
더페이스샵,32014,페이스 잇 아우라 CC크림,28,"['발림성좋은', '화사한', '추천템']",0,0,건조함,건성,4,2016-04-26,깔끔한 팩트형 용기라 휴대성이 좋더라구용 *_* 그냥 파우치에 쏙 - 넣어다니면서 꺼내어서 수정화장 하기에도 좋구요~ #발림성좋은 #화사한 #추천템 
16브랜드,600798,구름크림 핑크톤업 SPF30 PA++,24,[],0,2,"모공,잡티,민감성",지성,3,2016-09-10,"핑크 톤업으로 톤업을 자연스럽게 시켜 주는 느낌은 있어요
하지만 지성 피부는 소량을 적당히 발라야만 유분기를 잡아 줄 수 있을 것 같고
자외선 차단지수도 좀 되니까 선크림과 함께 발라 주면 더욱 좋을 듯요~"
16브랜드,600798,구름크림 핑크톤업 SPF30 PA++,41,[],1,0,"주름,민감성,트러블",복합성,5,2016-09-09,핑크톤업으로 피부톤 보정도 되고 향도 좋아 너무 좋아요!!
미샤,5605823,퍼펙트 스킨 톤 CC 크림,38,[],1,0,"잡티,피부톤",복합성,4,2017-01-10,"칙칙한피부톤이라 제품이름도 톤 cc크림을사용해보았어요
얇게 펴바르니까 조금은 칙칙한톤에서 살짝생기가돌더라구요 아예 톤업크림이출시되면 구매할꺼같아요 ㅎㅎ"
토니모리,32900,내추럴스 산양유 맑은 씨씨크림 SPF30 PA++,25,"['화사한', '자연스러운', '촉촉한', '톤보정', '토니모리', '산양유씨씨크림', '산양유맑은씨씨크림', '씨씨크림추천', '씨씨크림']",0,2,"모공,피부톤,트러블",복합성,4,2016-06-06,"자연스럽게 광이 나면서 피부톤이 화사해지고, 가볍고 산뜻한 느낌. 
커버력은 살짝 떨어지는 편이지만 자연스럽게 맑고 #화사한 피부 연출하기 좋아요.

#자연스러운 #촉촉한 #톤보정 #토니모리 #산양유씨씨크림 #산양유맑은씨씨크림 #씨씨크림추천 #씨씨크림"
토니모리,32900,내추럴스 산양유 맑은 씨씨크림 SPF30 PA++,21,[],1,1,"트러블,피지과다",지성,4,2018-02-24,색깔이 무척 자연스러우면서 화사한편이에요 그래서 피부좋으신분들이 바르시면 더 이쁠것 같아요 다만 커버력은 떨어지는편이라 저는 트러블자국이 있기에 컨실러를 항상 써야 해요  그라고 수분크림이이나 수딩젤이랑 섞어서 바르면 찰떡이에요!
토니모리,32900,내추럴스 산양유 맑은 씨씨크림 SPF30 PA++,27,"['비추템', '촉촉한']",0,0,"모공,잡티,건조함",건성,3,2017-05-30,"네추럴한 피부가되게해주는씨씨크림 .하지만 자칫잘못바르면 약간 밀림이.....산양유의향이 고소한향도 
하지만 커버력은매우약함 톤보정정도라면 베이스라면 사용하고싶은 씨씨크림 
잘발라야지만 들뜸 밀림현상이없어져요 . #비추템 #촉촉한 "
토니모리,32900,내추럴스 산양유 맑은 씨씨크림 SPF30 PA++,16,"['돈만_있으면_재구매', '추천템']",0,1,"각질,피부톤,피지과다",중성,4,2017-03-11,이거 진짜ㅠㅠ 완전 좋아요.. 저는 조금 무거운 듯한 파운데이션보다 좀 자연스러운 CC크림을 보고 있었어요. 그때 딱! 하고 나타난게 이 산양유 CC였죠 ㅎ... 진짜 너무 자연스럽게 톤업이 돼서 너무너무 마음에 들었어요. 근데 가격이 좀 부담스러워서 재구매는 돈 생길때 하는 걸로... #돈만_있으면_재구매 #추천템 
토니모리,32900,내추럴스 산양유 맑은 씨씨크림 SPF30 PA++,22,[],1,0,"잡티,건조함,민감성",복합성,4,2017-03-10,"원래 베이스가 무거운거를 싫어해서 비비를 못썼어요
그런데 cc는 항상 커버력이 뒤쳐져서 고민이었는데
토니모리 산양유 맑은 cc는 많이 보완이 되있더라구요 ㅎㅎㅎ
고등학생하고 새내기들 추천해요~~"
토니모리,32900,내추럴스 산양유 맑은 씨씨크림 SPF30 PA++, ,['비추템'],0,0, , ,2,2017-03-09,"#비추템 
각질부각이 되고 지속력이 매우 떨어져요. 색상도 너무 밝아요. 피부표현이 안 이쁘게 되서 별로에요. 약간 바르면서 퍼석퍼석한 질감이에요."
토니모리,32900,내추럴스 산양유 맑은 씨씨크림 SPF30 PA++,21,['비추템'],0,0,"모공,피부톤,트러블",복합성,1,2017-03-09,진짜 별로에여 바르면 광이 아니라 기름기가 돌고 커버력 바라지도 않았지만 1도 없고 지속력도 없고 일단 톤 업이 안돼여 저랑 제친구 같이 샀다가 바르고 어?? 한 제품은 이게 처음이에요 좀 비싸게 기름광 내고 싶으시면 사세요 #비추템 #비추템 #비추템 #비추템 
토니모리,32900,내추럴스 산양유 맑은 씨씨크림 SPF30 PA++,24,['자연스러운'],0,0,"각질,잡티,민감성",건성,4,2017-03-09,수분기가 있어 촉촉하고 좋은데 커버력은 조금 떨어지는거같아요. 자연스러운 화장에 좋을거 같아요. 뜨지는 않고 피부에는 잘 먹는거 같아요!!  #자연스러운
토니모리,32900,내추럴스 산양유 맑은 씨씨크림 SPF30 PA++,27,"['자연스러운', '추천템', '촉촉한']",0,0,"모공,잡티,피부톤",복합성,4,2017-02-03,"생각보다 커버는 약한데 자연스럽게 톤업해줘요
지금 사용하고 있는데 다 쓰면 새로 살 예정입니다
두껍게 화장 안하시면 이거로 메이크업베이스정도 효과가 나요 #자연스러운 #추천템 #촉촉한 "
토니모리,32900,내추럴스 산양유 맑은 씨씨크림 SPF30 PA++,21,"['퓨어밀크는', '핑크베이스라서', '선크림']",1,0,건조함,복합성,4,2016-07-10,#퓨어밀크는 #핑크베이스라서 피부를 자연스럽게 화사하게 해주는 효과가 있어용 하지만 지성분들이 쓰시기에는 유분이 너무 많고 또 여름에는 너무 잘 지워져서 그냥 #선크림 대용으로 바르시거나 파운데이션 전에 밝히고 싶은 부분에 발라주거나 잠깐 외출할 때 써야할 것 같아용 겨울에는 촉촉해서 진짜 잘 썼는데 여름되니깐 손이 안가요'ㅁ'
토니모리,32900,내추럴스 산양유 맑은 씨씨크림 SPF30 PA++,38,[],0,0,"모공,잡티",중성,1,2016-06-30,너무 유분이 많아요 끈적이고 저는 별로 별하나
토니모리,32900,내추럴스 산양유 맑은 씨씨크림 SPF30 PA++,24,"['인생템', '추천템', '자연스러운', '촉촉한', '미백기능', '10대도쓰는', '꼭겟템']",1,0,트러블,복합성,5,2016-06-30,원래 어떤걸 바르거나 팩만해도 피부가 진짜 뭐가 엄청 나는데 산양유 스킨 로션 씨씨 까지 바르면서 피부가 진짜 좋아졌어요...😍 1년 넘게 쓰고있는데 진짜 완젼 추천해요♡♡ #인생템 #추천템 #자연스러운 #촉촉한 #미백기능 #10대도쓰는 #꼭겟템
토니모리,32900,내추럴스 산양유 맑은 씨씨크림 SPF30 PA++,24,"['건성템', '유분기많은', '자연스러운']",0,0,"모공,잡티,피부톤",중성,2,2016-06-16,지성분들께는 비추하는 템입니다.... 유분기가 조금 심한듯 했어요ㅠㅠ 저는 지성이 아닌데도 이거 바르고 나갔다가 저녁에 보니 코 부분에 피지가 두드러져 보이더라구요;; 아무래도 유분기를 먹은 피지가 올라온 듯한데... 그 뒤로는 안씁니다ㅠㅠ 톤업은 자연스럽게 되는 편인 것 같아요! #건성템 #유분기많은 #자연스러운
토니모리,32900,내추럴스 산양유 맑은 씨씨크림 SPF30 PA++,24,[],0,0,"건조함,주름,피부톤",복합성,1,2016-06-07,딱히 얼굴이 환해지는 건 모르겠어요 그런데 각질제거 안하면 엄청떠요 그래서 안써요 가격도 뭐 그리 싸진 않네요 산양유라는 메
토니모리,32900,내추럴스 산양유 맑은 씨씨크림 SPF30 PA++,36,"['토니모리', '우윳빛맑은촉광cc', '처음처럼맑은듯산양유맑은씨씨', '산양유씨씨', '맑은씨씨', '촉광씨씨']",0,1,"모공,주름,잡티",복합성,3,2016-06-05,"산양유 씨씨. 
보습력에 중점을 둔 제품답게 촉촉합니다.색상은 핑크베이지로 바르면 화사하고 촉촉한피부표현이 가능 합니다. 커버력은 없네요.
SPF30 PA++지수라 간단한 외출시 피부화사하게 보이고싶을때, 파운데이션과 함께 사용하면 좋을것 같습니다.

#토니모리 #우윳빛맑은촉광CC #처음처럼맑은듯산양유맑은씨씨#산양유씨씨#맑은씨씨#촉광씨씨"
라네즈,1888322,워터베이스 CC크림 SPF 36 PA++,26,"['자연스러운', '촉촉한']",0,1,"모공,트러블",복합성,3,2017-12-25,"cc크림이어서 그런지 커버력이 진짜 1도 없어요.
워터베이스라는 이름에 어울리게 진짜 촉촉해요.
얼굴에 바를 때도 촉촉하고 다른 cc크림 대비 수분감이 오래가요. 
#자연스러운 #촉촉한 제품을 찾고 있다면 추천드려요!
커버력을 요한다면 이 제품을 베이스로 쓰고, 파데나 쿠션을 사용하면 좋아용!"
